drug_name,manufacturer,approval_year,drug_class,indications,side_effects,dosage_mg,administration_route,contraindications,warnings,price_usd,batch_number,expiry_date,side_effect_severity,approval_status
Fenozepam26,Pfizer Inc.,2018,Anti-inflammatory,Viral infections,"Fatigue, Dizziness, Blurred vision",450,Inhalation,Liver disease,Take with food,370.32,Vi993ld,2025-12-30,Severe,Rejected
Viraprofen94,Novartis AG,2021,Antiviral,Prevent infectious disease,"Blurred vision, Headache",700,Intravenous,Asthma,May cause drowsiness,120.95,xg908Th,2027-03-18,Mild,Rejected
Fenozepam78,Novartis AG,2013,Antibiotic,Depression treatment,"Constipation, Nausea, Fatigue",570,Intramuscular,Seizures,Use with caution in elderly,94.02,LK917nU,2028-06-13,Severe,Approved
Serocillin26,Roche Holding AG,1998,Antifungal,Depression treatment,"Constipation, Insomnia, Dizziness",260,Intramuscular,Asthma,May cause drowsiness,194.72,Lm459PY,2026-02-05,Moderate,Pending
Amoxprofen97,GlaxoSmithKline,2014,Antibiotic,Psychosis control,"Diarrhea, Insomnia",680,Topical,Asthma,Avoid alcohol,230.6,gb876vB,2027-02-14,Moderate,Approved
Loxoparin94,Sanofi,1990,Analgesic,Pain relief,"Blurred vision, Headache",970,Oral,Liver disease,Do not operate machinery,98.64,gz581aM,2028-01-23,Moderate,Pending
Daxoxetine74,Bayer AG,1991,Antidepressant,Allergy relief,Nausea,600,Sublingual,High blood pressure,May cause drowsiness,23.34,tg304oL,2026-05-19,Severe,Pending
Amoxzole45,Roche Holding AG,1992,Antihistamine,Depression treatment,"Nausea, Insomnia",360,Oral,Seizures,Do not discontinue abruptly,311.77,Ie818Ks,2025-11-22,Moderate,Rejected
Zylozole96,Roche Holding AG,2020,Vaccine,Allergy relief,Insomnia,750,Intramuscular,Kidney impairment,May affect fertility,3.1,Dq524qy,2026-10-05,Severe,Rejected
Amoxparin41,Merck & Co.,2024,Anti-inflammatory,Fungal infections,"Dry mouth, Constipation, Blurred vision",910,Topical,Allergic reaction,Use with caution in elderly,343.56,xv244dW,2027-09-17,Severe,Pending
Fenomab73,Moderna Therapeutics,2002,Antipyretic,Viral infections,Diarrhea,70,Intravenous,Seizures,Do not operate machinery,419.57,dz227cv,2026-08-24,Severe,Rejected
Serozole98,GlaxoSmithKline,2001,Antidepressant,Bacterial infections,"Dry mouth, Blurred vision",520,Sublingual,Diabetes,Take with food,313.73,lV271hb,2028-04-02,Moderate,Approved
Loxoxetine33,GlaxoSmithKline,1996,Antibiotic,Allergy relief,Headache,300,Inhalation,High blood pressure,Avoid alcohol,161.93,AP858bi,2026-06-21,Mild,Approved
Mecodipine78,Novartis AG,2023,Vaccine,Depression treatment,"Rash, Dizziness",910,Intravenous,Asthma,Risk of addiction,383.03,wN493oF,2028-06-02,Severe,Pending
Rivaprofen49,Roche Holding AG,1997,Antihistamine,Pain relief,Dizziness,880,Intravenous,Asthma,Do not operate machinery,166.85,zK875dx,2027-05-19,Severe,Approved
Fenostatin84,Bayer AG,2014,Analgesic,Bacterial infections,"Dizziness, Dry mouth",450,Oral,Diabetes,Monitor blood pressure,442.24,KG333pp,2028-04-27,Moderate,Pending
Rivaprofen80,Merck & Co.,1998,Antibiotic,Pain relief,Nausea,470,Intravenous,Diabetes,Monitor blood pressure,243.42,hx834dB,2026-07-18,Mild,Rejected
Viradipine61,Roche Holding AG,2007,Anti-inflammatory,Prevent infectious disease,Dry mouth,750,Intravenous,Diabetes,Avoid alcohol,75.05,JP029dn,2028-05-17,Mild,Approved
Fenoparin86,Pfizer Inc.,2010,Vaccine,Fever reduction,Dry mouth,270,Intravenous,Heart disease,Do not discontinue abruptly,5.28,dH716gu,2027-08-25,Moderate,Pending
Amoxvir18,Moderna Therapeutics,2006,Antifungal,Prevent infectious disease,"Blurred vision, Dizziness",430,Topical,Diabetes,Do not discontinue abruptly,226.02,QW040CF,2027-09-08,Moderate,Approved
Viraxetine28,GlaxoSmithKline,2003,Anti-inflammatory,Viral infections,"Insomnia, Blurred vision",20,Inhalation,Bleeding disorders,Monitor blood pressure,273.09,AU459Zm,2028-06-07,Moderate,Approved
Cefxetine20,Moderna Therapeutics,1994,Antipyretic,Viral infections,"Insomnia, Blurred vision",250,Intramuscular,Seizures,Take with food,260.86,HJ262mH,2027-12-22,Mild,Approved
Seroxetine31,Bayer AG,2022,Antiviral,Pain relief,"Diarrhea, Constipation, Dizziness",140,Inhalation,Liver disease,Risk of addiction,237.73,Bi225JE,2028-01-20,Mild,Rejected
Amoxxetine87,Johnson & Johnson,2013,Antiviral,Viral infections,Diarrhea,810,Intramuscular,Pregnancy,Take with food,431.74,lt290Ft,2028-02-13,Severe,Pending
Daxozole34,Pfizer Inc.,2011,Antipyretic,Bacterial infections,"Headache, Insomnia",500,Intravenous,Seizures,Risk of addiction,407.72,xO834OM,2026-09-10,Mild,Rejected
Zylostatin92,Novartis AG,1994,Antihistamine,Fever reduction,"Diarrhea, Blurred vision, Nausea",700,Intravenous,Asthma,Risk of addiction,395.41,uY049GG,2028-03-17,Moderate,Pending
Serozepam90,Roche Holding AG,1994,Antipsychotic,Allergy relief,Dry mouth,740,Inhalation,Pregnancy,Avoid sunlight exposure,12.14,FK827Pa,2027-08-23,Severe,Rejected
Fenoprofen93,AstraZeneca,2010,Antiviral,Fever reduction,Rash,820,Intravenous,Seizures,Take with food,132.1,Ip405Pb,2027-08-24,Mild,Pending
Rivaxetine90,Merck & Co.,1995,Analgesic,Depression treatment,Fatigue,950,Inhalation,Heart disease,Avoid sunlight exposure,362.42,IZ637Ty,2026-10-23,Mild,Rejected
Daxozole40,Roche Holding AG,1991,Antifungal,Bacterial infections,"Diarrhea, Constipation",650,Oral,Seizures,Take with food,382.02,AJ770xv,2027-07-14,Severe,Approved
Rivadipine90,Bayer AG,2019,Analgesic,Pain relief,"Fatigue, Diarrhea",740,Inhalation,Kidney impairment,Avoid sunlight exposure,94.03,Jf752Al,2027-09-10,Mild,Rejected
Zylostatin42,Bayer AG,2022,Antifungal,Prevent infectious disease,Constipation,500,Topical,Liver disease,May cause drowsiness,12.8,td749Xt,2027-04-05,Mild,Approved
Serocillin90,Moderna Therapeutics,2024,Antidepressant,Depression treatment,"Insomnia, Headache",940,Oral,Heart disease,Do not operate machinery,404.44,OB621MZ,2028-04-02,Severe,Approved
Loxomab92,AstraZeneca,2006,Antifungal,Psychosis control,Headache,670,Inhalation,Asthma,Take with food,196.27,Jl293xj,2026-04-11,Mild,Rejected
Loxodipine45,Moderna Therapeutics,1990,Antihistamine,Depression treatment,"Diarrhea, Fatigue, Constipation",220,Topical,Heart disease,Risk of addiction,420.92,ry456NR,2028-07-22,Mild,Pending
Loxostatin62,Moderna Therapeutics,2018,Anti-inflammatory,Fever reduction,"Headache, Fatigue, Dry mouth",150,Sublingual,Asthma,Do not discontinue abruptly,211.51,cc207cy,2027-11-05,Mild,Pending
Rivazole52,Pfizer Inc.,1994,Antipsychotic,Inflammation reduction,Constipation,270,Oral,Pregnancy,Use with caution in elderly,442.08,AB824Te,2026-07-11,Severe,Approved
Serozepam72,Johnson & Johnson,2014,Antidepressant,Psychosis control,"Diarrhea, Blurred vision, Insomnia",520,Intramuscular,Bleeding disorders,May affect fertility,354.5,Ci280EK,2027-02-10,Moderate,Approved
Viraprofen25,Merck & Co.,2014,Antifungal,Bacterial infections,"Constipation, Fatigue",270,Sublingual,Allergic reaction,Use with caution in elderly,196.65,ZO544XT,2025-12-10,Mild,Rejected
Viracillin43,Sanofi,2011,Analgesic,Fever reduction,Blurred vision,330,Oral,Allergic reaction,Take with food,151.65,vm355Ei,2026-09-08,Mild,Pending
Amoxparin93,AstraZeneca,1996,Antibiotic,Fever reduction,"Headache, Constipation",240,Intramuscular,Kidney impairment,May cause drowsiness,241.12,eG705Xk,2028-04-16,Severe,Rejected
Amoxvir81,Johnson & Johnson,2012,Antiviral,Pain relief,"Headache, Dry mouth",100,Rectal,Asthma,Do not discontinue abruptly,336.25,zn701cL,2026-06-29,Moderate,Rejected
Daxoparin23,Novartis AG,2004,Antipyretic,Fever reduction,Nausea,480,Topical,Heart disease,Do not operate machinery,165.66,NO295Yf,2027-03-29,Mild,Pending
Amoxparin16,Roche Holding AG,2012,Antibiotic,Allergy relief,"Dry mouth, Diarrhea",300,Intramuscular,High blood pressure,Do not discontinue abruptly,147.58,ry063PE,2026-07-15,Severe,Approved
Daxovir89,GlaxoSmithKline,2020,Antipsychotic,Inflammation reduction,"Constipation, Fatigue, Dry mouth",320,Topical,Pregnancy,Take with food,409.08,uj758mD,2027-12-09,Mild,Rejected
Zylomab58,Merck & Co.,2013,Antipyretic,Inflammation reduction,"Diarrhea, Fatigue",540,Intravenous,Bleeding disorders,Do not discontinue abruptly,456.94,HT104cP,2028-07-13,Moderate,Approved
Amoxmab22,Novartis AG,2020,Analgesic,Bacterial infections,"Nausea, Dry mouth, Constipation",570,Inhalation,Asthma,May cause drowsiness,91.37,FJ824DN,2027-07-13,Mild,Pending
Rivastatin32,AstraZeneca,2020,Antidepressant,Prevent infectious disease,"Insomnia, Dizziness",400,Sublingual,Heart disease,Take with food,453.17,Ma039dH,2025-09-24,Mild,Pending
Zylostatin60,AstraZeneca,2008,Anti-inflammatory,Allergy relief,Fatigue,930,Oral,Heart disease,Do not operate machinery,19.8,fc840ho,2027-11-02,Mild,Pending
Fenozepam42,Johnson & Johnson,2006,Antipsychotic,Inflammation reduction,"Dry mouth, Headache, Rash",740,Rectal,Bleeding disorders,Take with food,110.73,WT527wy,2027-11-22,Mild,Approved
Fenostatin78,GlaxoSmithKline,2014,Antibiotic,Viral infections,"Headache, Insomnia",260,Topical,Pregnancy,Take with food,486.14,eN014pt,2025-12-11,Mild,Approved
Rivaparin20,AstraZeneca,2016,Antiviral,Fever reduction,"Diarrhea, Nausea, Headache",200,Topical,Pregnancy,Avoid alcohol,34.23,rZ779cB,2026-04-27,Severe,Pending
Mecovir64,AstraZeneca,1998,Antidepressant,Fever reduction,"Headache, Blurred vision",870,Inhalation,Kidney impairment,Do not operate machinery,191.96,St257UN,2028-04-28,Mild,Approved
Virastatin63,Novartis AG,2020,Analgesic,Viral infections,"Insomnia, Blurred vision",10,Sublingual,Liver disease,May affect fertility,357.2,cU279Jz,2026-07-22,Severe,Pending
Cefdipine80,Bayer AG,2003,Antipsychotic,Inflammation reduction,"Rash, Headache, Nausea",820,Oral,High blood pressure,May cause drowsiness,428.12,vm575Ka,2027-10-16,Mild,Pending
Daxomab11,GlaxoSmithKline,1991,Antidepressant,Prevent infectious disease,"Dry mouth, Constipation, Diarrhea",560,Rectal,Seizures,Avoid alcohol,279.4,In813fa,2028-01-06,Moderate,Pending
Daxoxetine27,Novartis AG,2016,Antidepressant,Prevent infectious disease,Constipation,770,Oral,Allergic reaction,Do not operate machinery,298.91,kO652NJ,2026-07-30,Severe,Approved
Amoxxetine23,Novartis AG,2002,Antihistamine,Psychosis control,"Headache, Insomnia, Nausea",720,Inhalation,Diabetes,Avoid alcohol,1.21,fm989fT,2026-12-13,Severe,Rejected
Mecozepam16,GlaxoSmithKline,2016,Antipsychotic,Depression treatment,"Fatigue, Blurred vision",970,Sublingual,Bleeding disorders,May cause drowsiness,102.64,mA721wO,2026-08-20,Moderate,Approved
Mecodipine88,Merck & Co.,2004,Antihistamine,Pain relief,"Dizziness, Dry mouth",950,Sublingual,Asthma,Do not discontinue abruptly,456.92,ow507et,2026-10-18,Moderate,Pending
Seroprofen94,Roche Holding AG,2009,Vaccine,Depression treatment,Dry mouth,820,Intramuscular,Diabetes,Take with food,258.15,lK727Bm,2026-08-29,Severe,Rejected
Daxozepam65,AstraZeneca,1993,Antifungal,Fever reduction,"Dry mouth, Insomnia",940,Intramuscular,Liver disease,May affect fertility,389.03,yW717ju,2027-06-22,Mild,Rejected
Loxoxetine44,Johnson & Johnson,2009,Vaccine,Pain relief,Fatigue,280,Sublingual,Seizures,Avoid alcohol,115.38,oL375JG,2027-11-16,Severe,Approved
Amoxprofen88,Pfizer Inc.,2006,Antidepressant,Allergy relief,"Headache, Insomnia, Diarrhea",780,Topical,Diabetes,May cause drowsiness,121.61,WX817uY,2028-07-19,Mild,Pending
Daxomab52,Pfizer Inc.,2010,Vaccine,Allergy relief,Dizziness,710,Rectal,Seizures,Do not discontinue abruptly,17.9,Zy619to,2027-06-29,Moderate,Rejected
Amoxcillin65,Novartis AG,1996,Antibiotic,Prevent infectious disease,Dry mouth,120,Topical,Liver disease,May cause drowsiness,397.64,IM146ZI,2027-09-06,Moderate,Rejected
Cefzole11,Sanofi,1996,Antihistamine,Viral infections,Rash,980,Oral,Diabetes,Avoid sunlight exposure,357.22,dS088AX,2026-01-28,Moderate,Approved
Viradipine65,Johnson & Johnson,2005,Antipsychotic,Bacterial infections,"Fatigue, Diarrhea, Headache",880,Rectal,High blood pressure,May cause drowsiness,119.14,jU101Xa,2025-11-24,Severe,Rejected
Daxozepam86,GlaxoSmithKline,2018,Antipyretic,Allergy relief,"Headache, Dizziness, Insomnia",940,Intravenous,Liver disease,Avoid alcohol,442.52,Jk962Qv,2028-02-02,Mild,Approved
Amoxprofen67,Roche Holding AG,2001,Vaccine,Viral infections,"Headache, Diarrhea",210,Rectal,High blood pressure,Take with food,415.09,Xh263wJ,2027-06-11,Moderate,Rejected
Mecoxetine64,Roche Holding AG,2021,Antibiotic,Fungal infections,Insomnia,200,Rectal,High blood pressure,May affect fertility,216.42,Cv609OX,2026-09-10,Moderate,Rejected
Zylozole29,Moderna Therapeutics,2023,Antifungal,Depression treatment,"Constipation, Insomnia",580,Oral,Heart disease,Risk of addiction,51.17,rV525CM,2025-12-19,Severe,Approved
Zylomab53,Moderna Therapeutics,1992,Antiviral,Depression treatment,"Insomnia, Headache, Diarrhea",340,Topical,Bleeding disorders,Do not discontinue abruptly,194.32,Dl805Ah,2028-03-26,Moderate,Pending
Cefzole35,Sanofi,2017,Anti-inflammatory,Prevent infectious disease,"Dry mouth, Constipation",710,Intravenous,Liver disease,Take with food,60.89,rN807Ut,2027-07-18,Mild,Approved
Zylovir85,Merck & Co.,2008,Antipsychotic,Fever reduction,"Headache, Diarrhea, Rash",870,Intravenous,Liver disease,Monitor blood pressure,278.35,Hm315yl,2027-05-15,Mild,Pending
Amoxzole56,Moderna Therapeutics,2022,Antidepressant,Fever reduction,Constipation,470,Intramuscular,Kidney impairment,Risk of addiction,63.77,sQ859Fg,2026-07-18,Severe,Rejected
Zylozepam47,GlaxoSmithKline,2020,Antipyretic,Inflammation reduction,"Fatigue, Rash, Diarrhea",780,Rectal,Bleeding disorders,May cause drowsiness,180.95,Bh627rI,2027-03-03,Severe,Rejected
Viraparin32,Sanofi,2011,Antidepressant,Prevent infectious disease,"Fatigue, Constipation",460,Oral,Seizures,Take with food,341.6,GG391Br,2027-12-27,Severe,Rejected
Zylozole18,Bayer AG,2021,Antidepressant,Inflammation reduction,Headache,830,Topical,Asthma,Do not discontinue abruptly,390.05,PI386dq,2026-01-24,Mild,Rejected
Seroxetine96,Bayer AG,2014,Anti-inflammatory,Allergy relief,"Fatigue, Rash, Blurred vision",890,Rectal,Asthma,Use with caution in elderly,59.43,Yw268wQ,2027-08-30,Severe,Pending
Fenocillin86,Merck & Co.,1999,Antihistamine,Psychosis control,"Dry mouth, Constipation, Insomnia",530,Intravenous,Allergic reaction,May affect fertility,221.68,wY954QZ,2026-01-13,Mild,Approved
Fenoprofen97,Moderna Therapeutics,2002,Antiviral,Fungal infections,"Fatigue, Diarrhea",240,Sublingual,Seizures,Use with caution in elderly,467.87,rp693Si,2025-08-21,Mild,Pending
Daxoparin47,Sanofi,1999,Antiviral,Bacterial infections,"Blurred vision, Diarrhea",240,Inhalation,Allergic reaction,May cause drowsiness,431.78,Se665DZ,2027-08-30,Moderate,Pending
Rivaparin87,Sanofi,2002,Vaccine,Prevent infectious disease,"Fatigue, Insomnia, Dry mouth",830,Inhalation,Heart disease,Take with food,131.26,vA075uy,2026-02-27,Severe,Rejected
Loxostatin91,Johnson & Johnson,2014,Antiviral,Viral infections,"Dry mouth, Fatigue",280,Intramuscular,Bleeding disorders,Do not operate machinery,489.32,PR136NA,2027-05-26,Mild,Approved
Loxoxetine13,Pfizer Inc.,1991,Analgesic,Allergy relief,"Nausea, Dry mouth, Blurred vision",810,Sublingual,Bleeding disorders,Monitor blood pressure,455.06,Lc906Fw,2026-03-17,Severe,Rejected
Fenoprofen89,AstraZeneca,2004,Anti-inflammatory,Fever reduction,"Headache, Nausea",10,Topical,Seizures,Avoid alcohol,327.04,jQ678Pg,2026-02-08,Severe,Approved
Fenoparin19,Johnson & Johnson,1997,Antipsychotic,Psychosis control,"Insomnia, Blurred vision, Dry mouth",340,Oral,Bleeding disorders,Do not operate machinery,421.06,Ob752uh,2026-11-13,Mild,Rejected
Loxovir91,AstraZeneca,2022,Vaccine,Prevent infectious disease,Dry mouth,500,Topical,Kidney impairment,Do not discontinue abruptly,389.1,bK046Ty,2027-06-25,Mild,Approved
Cefparin16,Johnson & Johnson,2008,Antidepressant,Inflammation reduction,"Rash, Dizziness",40,Topical,Kidney impairment,May cause drowsiness,178.69,Ic270QO,2027-09-17,Moderate,Rejected
Amoxcillin64,Novartis AG,2004,Anti-inflammatory,Fungal infections,"Dizziness, Fatigue, Constipation",80,Sublingual,Allergic reaction,Risk of addiction,360.88,ky177mg,2027-05-12,Severe,Pending
Zyloprofen64,GlaxoSmithKline,1999,Antipsychotic,Allergy relief,Diarrhea,660,Sublingual,Pregnancy,Monitor blood pressure,170.92,Kd800Yy,2025-11-15,Moderate,Pending
Fenozepam92,Novartis AG,2022,Antibiotic,Allergy relief,"Blurred vision, Dizziness, Fatigue",200,Sublingual,Liver disease,Take with food,340.21,Tm469fs,2025-08-07,Severe,Rejected
Loxostatin47,Sanofi,2004,Vaccine,Allergy relief,Dry mouth,170,Rectal,Liver disease,Monitor blood pressure,339.89,Vk809nc,2027-03-03,Severe,Approved
Loxoxetine40,GlaxoSmithKline,2023,Anti-inflammatory,Fungal infections,"Diarrhea, Dry mouth",360,Inhalation,Bleeding disorders,May cause drowsiness,471.12,hz166qC,2025-11-06,Severe,Rejected
Fenomab49,Bayer AG,2016,Antipsychotic,Viral infections,"Blurred vision, Insomnia",690,Inhalation,High blood pressure,Risk of addiction,294.98,XA862IJ,2025-11-25,Mild,Pending
Viraparin82,GlaxoSmithKline,1993,Antidepressant,Allergy relief,Nausea,550,Oral,Diabetes,Avoid alcohol,490.74,wi043cO,2028-02-03,Moderate,Pending
Loxostatin71,Merck & Co.,2007,Analgesic,Fungal infections,Dry mouth,970,Topical,Bleeding disorders,Avoid alcohol,449.07,Ju238co,2027-03-16,Mild,Approved
Serozepam35,AstraZeneca,2014,Antibiotic,Bacterial infections,Dizziness,650,Topical,Seizures,Avoid sunlight exposure,281.39,JN184Xc,2028-02-21,Mild,Pending
Virastatin49,Pfizer Inc.,2005,Vaccine,Pain relief,"Insomnia, Dizziness",890,Rectal,Allergic reaction,Risk of addiction,33.87,NE282bJ,2026-12-18,Mild,Rejected
Cefxetine21,Roche Holding AG,2001,Antidepressant,Psychosis control,Constipation,690,Oral,Heart disease,Monitor blood pressure,483.19,Ag435xd,2027-12-24,Mild,Pending
Cefxetine46,Johnson & Johnson,1992,Vaccine,Depression treatment,"Fatigue, Insomnia, Nausea",30,Oral,Seizures,Avoid alcohol,385.69,pa530TY,2028-05-30,Mild,Rejected
Rivaxetine60,Novartis AG,1999,Antifungal,Allergy relief,"Dry mouth, Insomnia, Nausea",40,Oral,Kidney impairment,Monitor blood pressure,454.95,pJ773Ii,2027-07-16,Severe,Rejected
Loxozepam65,Roche Holding AG,2010,Antipsychotic,Fungal infections,"Dizziness, Rash",860,Topical,Liver disease,Do not operate machinery,47.24,kO830yi,2028-03-17,Severe,Pending
Mecodipine19,Moderna Therapeutics,2010,Antipyretic,Pain relief,"Constipation, Rash, Headache",30,Intravenous,Kidney impairment,Monitor blood pressure,348.75,nY917cB,2026-03-29,Moderate,Pending
Virastatin40,Bayer AG,2009,Antihistamine,Viral infections,"Blurred vision, Constipation",710,Inhalation,Bleeding disorders,Avoid alcohol,39.73,GR482tt,2026-04-30,Severe,Approved
Fenoprofen78,GlaxoSmithKline,2015,Vaccine,Viral infections,"Dizziness, Constipation, Headache",40,Intravenous,Liver disease,Do not operate machinery,20.11,wa399Tn,2027-01-18,Mild,Approved
Cefzepam62,Roche Holding AG,2016,Antipyretic,Psychosis control,Headache,320,Intravenous,Bleeding disorders,Avoid alcohol,326.31,kv334gg,2026-05-07,Severe,Rejected
Daxoxetine26,Merck & Co.,2005,Antifungal,Allergy relief,"Dry mouth, Dizziness, Blurred vision",530,Inhalation,Pregnancy,May cause drowsiness,354.88,mq731lS,2027-06-18,Moderate,Pending
Viraprofen92,Novartis AG,2002,Vaccine,Allergy relief,"Dizziness, Dry mouth",810,Topical,Seizures,Risk of addiction,205.15,Mf335zx,2027-05-04,Moderate,Approved
Serovir99,Moderna Therapeutics,2012,Antipsychotic,Depression treatment,Diarrhea,270,Rectal,Kidney impairment,Use with caution in elderly,448.69,Cg376JH,2027-06-06,Moderate,Rejected
Fenoxetine28,Sanofi,2023,Antifungal,Fungal infections,Blurred vision,550,Intramuscular,Seizures,Do not operate machinery,427.83,St393Eg,2025-11-19,Mild,Approved
Viramab63,Sanofi,2004,Antiviral,Depression treatment,"Constipation, Dizziness, Dry mouth",960,Oral,Heart disease,Do not discontinue abruptly,462.61,ne068oS,2026-05-26,Severe,Pending
Daxozepam73,Moderna Therapeutics,2021,Antiviral,Fungal infections,"Insomnia, Dry mouth",760,Rectal,Asthma,May cause drowsiness,372.23,Qo639YO,2026-11-14,Mild,Approved
Mecovir95,Bayer AG,2012,Analgesic,Bacterial infections,"Nausea, Dizziness",530,Topical,Kidney impairment,May cause drowsiness,436.2,qZ679kb,2026-07-05,Severe,Pending
Seromab27,Bayer AG,1998,Analgesic,Allergy relief,"Dizziness, Constipation",510,Oral,Kidney impairment,Avoid sunlight exposure,6.07,Eh399fz,2028-06-22,Severe,Pending
Daxomab91,Moderna Therapeutics,1990,Antidepressant,Allergy relief,Nausea,530,Topical,Diabetes,Risk of addiction,253.53,Fx873Qs,2026-02-15,Mild,Approved
Amoxxetine71,GlaxoSmithKline,2016,Anti-inflammatory,Prevent infectious disease,"Headache, Fatigue",410,Intramuscular,Kidney impairment,Take with food,137.25,tM339cM,2026-08-11,Moderate,Approved
Serozepam96,Johnson & Johnson,1990,Antihistamine,Psychosis control,"Headache, Dry mouth",810,Oral,Heart disease,Avoid sunlight exposure,302.67,Nr686fe,2027-04-23,Mild,Approved
Daxostatin88,Merck & Co.,2014,Antiviral,Fever reduction,Blurred vision,460,Intravenous,Liver disease,Do not operate machinery,307.76,tP745RZ,2027-04-15,Mild,Approved
Mecoparin37,Pfizer Inc.,2008,Antipyretic,Allergy relief,"Rash, Fatigue",870,Intramuscular,Pregnancy,Monitor blood pressure,452.71,dH430Bk,2026-12-16,Mild,Pending
Rivamab66,AstraZeneca,1992,Vaccine,Prevent infectious disease,"Blurred vision, Diarrhea",550,Oral,Bleeding disorders,Risk of addiction,220.9,LZ728as,2025-08-17,Severe,Rejected
Rivadipine35,Novartis AG,2019,Antiviral,Allergy relief,"Constipation, Insomnia, Headache",70,Inhalation,Pregnancy,Monitor blood pressure,145.54,zQ960Ab,2025-11-30,Mild,Rejected
Cefxetine29,Sanofi,2020,Vaccine,Pain relief,Dizziness,210,Intravenous,Asthma,Avoid alcohol,482.52,FZ333vX,2025-10-05,Mild,Pending
Mecovir22,GlaxoSmithKline,1993,Vaccine,Allergy relief,"Rash, Dizziness",600,Topical,Allergic reaction,May affect fertility,116.42,jp264WH,2026-09-30,Mild,Rejected
Daxomab60,Pfizer Inc.,1991,Antipyretic,Psychosis control,"Dry mouth, Insomnia, Blurred vision",510,Intramuscular,Kidney impairment,Avoid alcohol,97.66,Gg774II,2028-06-21,Moderate,Approved
Seroprofen44,Moderna Therapeutics,2002,Antipsychotic,Prevent infectious disease,"Rash, Nausea",110,Intravenous,Allergic reaction,Risk of addiction,454.74,vH481FB,2027-05-09,Moderate,Rejected
Fenostatin19,Moderna Therapeutics,2006,Antifungal,Depression treatment,"Headache, Dizziness",780,Rectal,Pregnancy,May cause drowsiness,352.4,My917FP,2025-11-27,Severe,Approved
Mecozepam44,AstraZeneca,2021,Analgesic,Inflammation reduction,Rash,120,Oral,Pregnancy,May cause drowsiness,422.49,tC588kn,2026-03-30,Severe,Rejected
Amoxxetine11,Roche Holding AG,2024,Antipsychotic,Inflammation reduction,Fatigue,900,Inhalation,Heart disease,Avoid alcohol,467.85,Vv435St,2026-01-25,Severe,Rejected
Mecostatin14,Bayer AG,2011,Anti-inflammatory,Depression treatment,"Nausea, Dizziness",620,Intravenous,Heart disease,Avoid alcohol,109.12,Ln398Aw,2028-03-22,Moderate,Pending
Fenodipine32,Pfizer Inc.,1999,Analgesic,Bacterial infections,Constipation,240,Intramuscular,High blood pressure,Take with food,306.08,DK690FC,2027-08-05,Severe,Rejected
Serozepam90,Sanofi,2017,Antidepressant,Pain relief,Dry mouth,800,Sublingual,Diabetes,May cause drowsiness,190.41,uC554cU,2027-08-10,Mild,Rejected
Amoxcillin61,Roche Holding AG,2012,Antidepressant,Fever reduction,"Fatigue, Headache, Blurred vision",40,Topical,Allergic reaction,Avoid alcohol,487.61,Zb696JC,2027-02-28,Mild,Approved
Cefzole43,Johnson & Johnson,2023,Antifungal,Prevent infectious disease,Rash,880,Topical,Asthma,Do not discontinue abruptly,234.47,gg930FB,2028-06-30,Moderate,Approved
Seroparin74,GlaxoSmithKline,2016,Analgesic,Allergy relief,Nausea,890,Intramuscular,Asthma,Take with food,308.98,Rn829nq,2026-12-09,Severe,Approved
Seromab52,Merck & Co.,2007,Antiviral,Viral infections,"Diarrhea, Nausea",990,Intravenous,Pregnancy,Avoid alcohol,293.45,XE396Bh,2026-11-11,Moderate,Pending
Rivaparin94,Moderna Therapeutics,2017,Anti-inflammatory,Fever reduction,"Blurred vision, Insomnia, Rash",810,Oral,Asthma,Take with food,498.98,fG825jS,2026-08-04,Moderate,Approved
Cefvir95,Bayer AG,2007,Antipsychotic,Fever reduction,Rash,700,Intramuscular,Pregnancy,Avoid alcohol,129.98,Bm528Tq,2027-02-13,Mild,Rejected
Amoxzole86,Merck & Co.,1995,Analgesic,Fungal infections,"Fatigue, Dry mouth",460,Sublingual,Liver disease,Take with food,352.19,lO970zT,2027-01-01,Severe,Approved
Fenocillin18,Johnson & Johnson,1990,Anti-inflammatory,Allergy relief,Blurred vision,90,Rectal,Liver disease,Do not operate machinery,452.07,WZ206aG,2027-01-22,Moderate,Approved
Seroparin76,Roche Holding AG,2007,Antidepressant,Psychosis control,Blurred vision,150,Topical,High blood pressure,Avoid alcohol,330.25,Sc151wV,2026-10-03,Moderate,Approved
Loxodipine57,AstraZeneca,1995,Antifungal,Fungal infections,Blurred vision,100,Inhalation,Pregnancy,Do not operate machinery,65.5,gh757Hx,2026-03-26,Severe,Pending
Zylovir33,Johnson & Johnson,2003,Antifungal,Bacterial infections,"Constipation, Fatigue",70,Oral,Seizures,Do not discontinue abruptly,426.73,eQ902DV,2025-09-18,Mild,Approved
Viracillin58,GlaxoSmithKline,1995,Analgesic,Allergy relief,"Insomnia, Dry mouth, Constipation",140,Oral,Liver disease,Take with food,162.12,Xx425gD,2027-11-11,Moderate,Pending
Seromab88,Moderna Therapeutics,2008,Antifungal,Prevent infectious disease,"Nausea, Insomnia, Diarrhea",620,Rectal,Diabetes,Risk of addiction,273.79,JM906sV,2027-10-05,Severe,Rejected
