Draw,Date,1,2,3,4,5,6
3333,29/06/2013,11,22,25,26,31,42
3331,22/06/2013,13,17,18,20,21,43
3329,15/06/2013,1,4,15,16,17,21
3327,8/06/2013,7,8,10,25,28,42
3325,1/06/2013,12,15,30,37,40,44
3323,25/05/2013,1,15,16,20,31,36
3321,18/05/2013,3,6,14,16,25,31
3319,11/05/2013,16,30,32,35,38,41
3317,4/05/2013,2,12,13,20,30,35
3315,27/04/2013,8,15,18,33,40,43
3313,20/04/2013,7,10,28,34,41,44
3311,13/04/2013,2,4,6,9,37,44
3309,6/04/2013,19,20,21,23,25,43
3307,30/03/2013,4,29,33,40,41,43
3305,23/03/2013,2,3,12,13,16,30
3303,16/03/2013,4,24,25,29,32,43
3301,9/03/2013,7,10,12,28,44,45
3299,2/03/2013,11,13,18,20,42,43
3297,23/02/2013,6,8,13,29,34,39
3295,16/02/2013,1,6,16,17,18,34
3293,9/02/2013,8,29,30,33,36,41
3291,2/02/2013,5,18,29,31,44,45
3289,26/01/2013,6,12,25,36,39,43
3287,19/01/2013,4,11,14,16,19,25
3285,12/01/2013,2,6,11,15,31,34
3283,5/01/2013,20,28,30,31,32,37
3281,29/12/2012,7,14,15,25,35,37
3279,22/12/2012,1,4,10,17,29,45
3277,15/12/2012,5,7,9,16,20,41
3275,8/12/2012,6,13,16,33,36,41
3273,1/12/2012,11,17,25,30,40,41
3271,24/11/2012,17,26,30,32,42,43
3269,17/11/2012,5,8,11,20,29,33
3267,10/11/2012,1,4,25,27,40,41
3265,3/11/2012,7,12,20,31,38,43
3263,27/10/2012,5,6,25,33,34,44
3261,20/10/2012,10,25,26,27,32,35
3259,13/10/2012,2,11,13,15,26,40
3257,6/10/2012,18,20,23,32,40,42
3255,29/09/2012,9,10,16,25,32,34
3253,22/09/2012,1,17,19,32,34,45
3251,15/09/2012,2,11,19,23,32,34
3249,8/09/2012,4,5,7,15,35,38
3247,1/09/2012,9,19,24,28,29,31
3245,25/08/2012,4,17,21,27,28,30
3243,18/08/2012,10,11,15,30,34,36
3241,11/08/2012,21,22,27,31,32,38
3239,4/08/2012,16,19,20,37,39,43
3237,28/07/2012,1,27,28,33,37,42
3235,21/07/2012,3,6,7,9,23,43
3233,14/07/2012,17,30,36,41,42,45
3231,7/07/2012,2,15,21,31,37,38
3229,30/06/2012,8,30,32,33,37,40
3227,23/06/2012,2,16,19,29,30,31
3225,16/06/2012,16,18,25,35,36,40
3223,9/06/2012,1,4,16,26,27,32
3221,2/06/2012,6,17,18,31,36,43
3219,26/05/2012,10,13,22,36,37,38
3217,19/05/2012,9,12,28,29,32,41
3215,12/05/2012,1,2,14,16,19,45
3213,5/05/2012,7,9,12,15,27,40
3211,28/04/2012,4,5,12,23,31,33
3209,21/04/2012,1,2,15,16,21,28
3207,14/04/2012,7,8,13,18,25,43
3205,7/04/2012,17,26,27,28,30,38
3203,31/03/2012,2,6,26,29,41,43
3201,24/03/2012,17,27,29,39,42,45
3199,17/03/2012,4,10,21,30,41,42
3197,10/03/2012,20,21,26,32,41,43
3195,3/03/2012,4,5,11,12,14,31
3193,25/02/2012,12,14,18,19,30,38
3191,18/02/2012,3,13,14,32,37,38
3189,11/02/2012,3,13,17,21,25,35
3187,4/02/2012,3,10,20,28,40,41
3185,28/01/2012,22,28,31,32,40,43
3183,21/01/2012,2,9,14,22,31,33
3181,14/01/2012,13,16,18,19,23,28
3179,7/01/2012,19,29,30,33,44,45
3177,31/12/2011,7,8,28,33,38,41
3175,24/12/2011,1,4,7,9,12,30
3173,17/12/2011,6,11,12,24,26,36
3171,10/12/2011,9,18,29,32,33,41
3169,3/12/2011,2,9,13,18,26,44
3167,26/11/2011,9,12,22,28,41,42
3165,19/11/2011,9,18,23,24,33,36
3163,12/11/2011,4,5,10,17,22,40
3161,5/11/2011,2,6,12,18,44,45
3159,29/10/2011,11,12,15,20,32,33
3157,22/10/2011,7,19,28,29,43,45
3155,15/10/2011,8,12,18,21,24,30
3153,8/10/2011,7,18,22,37,38,39
3151,1/10/2011,19,25,30,38,42,44
3149,24/09/2011,7,10,11,14,37,39
3147,17/09/2011,8,10,12,21,37,42
3145,10/09/2011,10,20,21,25,38,39
3143,3/09/2011,1,7,21,22,23,27
3141,27/08/2011,4,8,16,32,33,34
3139,20/08/2011,3,24,26,30,32,39
3137,13/08/2011,8,13,15,22,33,34
3135,6/08/2011,4,6,9,27,39,43
3133,30/07/2011,2,5,9,16,23,31
3131,23/07/2011,1,4,22,24,31,33
3129,16/07/2011,11,16,17,29,35,38
3127,9/07/2011,15,32,34,36,41,45
3125,2/07/2011,6,10,14,17,39,40
3123,25/06/2011,10,11,12,15,22,28
3121,18/06/2011,1,6,14,19,32,42
3119,11/06/2011,3,11,17,30,36,38
3117,4/06/2011,1,19,22,23,27,45
3115,28/05/2011,1,9,11,13,33,35
3113,21/05/2011,8,13,15,19,27,43
3111,14/05/2011,4,10,18,22,31,45
3109,7/05/2011,12,24,26,28,39,44
3107,30/04/2011,1,7,15,33,35,40
3105,23/04/2011,5,10,13,25,32,37
3103,16/04/2011,1,14,18,22,23,29
3101,9/04/2011,3,4,11,13,41,45
3099,2/04/2011,10,14,24,30,40,41
3097,26/03/2011,1,14,23,34,41,42
3095,19/03/2011,2,6,7,8,18,21
3093,12/03/2011,4,13,17,21,38,40
3091,5/03/2011,12,19,22,26,32,33
3089,26/02/2011,1,4,21,23,24,43
3087,19/02/2011,1,5,14,23,41,45
3085,12/02/2011,4,9,10,26,38,44
3083,5/02/2011,5,11,19,30,42,45
3081,29/01/2011,2,11,15,19,20,25
3079,22/01/2011,3,15,17,21,34,43
3077,15/01/2011,10,12,23,26,27,31
3075,8/01/2011,5,6,19,23,35,38
3073,31/12/2010,10,11,13,19,24,41
3071,25/12/2010,4,11,12,22,29,38
3069,18/12/2010,4,13,25,26,42,44
3067,11/12/2010,10,16,18,26,32,33
3065,4/12/2010,9,10,12,13,39,43
3063,27/11/2010,2,12,15,24,35,37
3061,20/11/2010,7,19,21,25,38,42
3059,13/11/2010,14,15,26,27,35,41
3057,6/11/2010,15,24,25,28,30,39
3055,30/10/2010,4,6,7,27,31,45
3053,23/10/2010,12,23,31,34,39,43
3051,16/10/2010,15,19,28,36,39,41
3049,9/10/2010,1,11,24,26,32,36
3047,2/10/2010,8,9,29,33,37,42
3045,25/09/2010,12,22,24,26,31,38
3043,18/09/2010,7,18,31,35,40,44
3041,11/09/2010,5,11,15,36,42,44
3039,4/09/2010,1,20,28,35,36,44
3037,28/08/2010,3,9,11,29,30,34
3035,21/08/2010,1,8,11,16,31,38
3033,14/08/2010,2,12,13,29,31,40
3031,7/08/2010,5,28,35,39,40,41
3029,31/07/2010,4,14,25,35,41,43
3027,24/07/2010,6,13,16,24,30,33
3025,17/07/2010,2,11,17,19,39,40
3023,10/07/2010,17,23,30,38,40,42
3021,3/07/2010,1,6,10,15,26,40
3019,26/06/2010,2,5,10,22,37,38
3017,19/06/2010,5,11,13,16,25,29
3015,12/06/2010,1,7,11,21,23,43
3013,5/06/2010,5,13,24,26,28,41
3011,29/05/2010,2,12,19,22,30,40
3009,22/05/2010,7,8,16,17,27,40
3007,15/05/2010,4,6,13,15,18,35
3005,8/05/2010,7,21,34,39,42,43
3003,1/05/2010,20,24,25,29,31,34
3001,24/04/2010,4,5,12,18,20,25
2999,17/04/2010,5,6,22,32,36,43
2997,10/04/2010,15,17,27,33,40,43
2995,3/04/2010,12,18,21,22,33,38
2993,27/03/2010,9,13,16,23,27,33
2991,20/03/2010,10,12,15,26,29,40
2989,13/03/2010,7,17,24,31,42,43
2987,6/03/2010,4,18,21,24,28,41
2985,27/02/2010,20,26,29,31,33,40
2983,20/02/2010,1,13,18,33,36,37
2981,13/02/2010,1,7,14,34,41,45
2979,6/02/2010,8,11,23,25,27,42
2977,30/01/2010,12,13,15,21,22,43
2975,23/01/2010,8,13,15,18,29,38
2973,16/01/2010,14,27,32,33,36,41
2971,9/01/2010,6,8,18,20,36,45
2969,2/01/2010,5,12,16,33,34,42
2967,26/12/2009,6,9,11,24,28,42
2965,19/12/2009,2,3,5,7,9,23
2963,12/12/2009,1,2,24,25,31,34
2961,5/12/2009,1,10,26,31,32,44
2959,28/11/2009,11,19,28,36,37,40
2957,21/11/2009,4,16,19,23,28,44
2955,14/11/2009,2,9,13,23,26,36
2953,7/11/2009,1,14,21,29,33,36
2951,31/10/2009,6,24,29,30,37,44
2949,24/10/2009,2,14,16,23,34,39
2947,17/10/2009,2,10,22,24,26,44
2945,10/10/2009,2,6,13,14,25,32
2943,3/10/2009,3,16,18,32,39,42
2941,26/09/2009,1,7,13,16,30,40
2939,19/09/2009,2,20,24,29,33,41
2937,12/09/2009,4,21,30,35,42,43
2935,5/09/2009,9,11,20,29,34,39
2933,29/08/2009,4,23,30,35,36,43
2931,22/08/2009,7,11,32,37,38,40
2929,15/08/2009,1,18,28,30,37,43
2927,8/08/2009,14,19,29,33,39,40
2925,1/08/2009,5,16,24,27,28,40
2923,25/07/2009,5,14,16,25,35,38
2921,18/07/2009,2,5,6,8,12,13
2919,11/07/2009,5,9,20,29,33,37
2917,4/07/2009,1,13,25,38,43,45
2915,27/06/2009,9,14,20,24,25,38
2913,20/06/2009,1,15,17,33,34,37
2911,13/06/2009,13,19,22,29,36,42
2909,6/06/2009,19,20,31,36,43,45
2907,30/05/2009,6,26,33,34,40,45
2905,23/05/2009,6,8,18,25,27,37
2903,16/05/2009,3,14,15,19,25,44
2901,9/05/2009,8,13,14,22,24,31
2899,2/05/2009,1,5,38,41,42,45
2897,25/04/2009,3,13,17,32,38,44
2895,18/04/2009,3,5,8,14,30,34
2893,11/04/2009,1,2,10,27,41,43
2891,4/04/2009,1,8,34,37,38,42
2889,28/03/2009,5,21,22,25,27,38
2887,21/03/2009,3,13,18,19,29,38
2885,14/03/2009,6,17,20,26,38,41
2883,7/03/2009,2,6,12,34,39,41
2881,28/02/2009,17,21,22,24,28,34
2879,21/02/2009,8,10,13,17,26,33
2877,14/02/2009,5,6,20,23,24,26
2875,7/02/2009,2,5,18,20,27,37
2873,31/01/2009,4,5,15,18,30,34
2871,24/01/2009,18,24,31,32,41,44
2869,17/01/2009,4,9,27,37,42,45
2867,10/01/2009,8,12,16,19,22,42
2865,3/01/2009,17,25,28,34,37,45
2863,27/12/2008,6,16,24,26,36,41
2861,20/12/2008,18,20,22,27,28,40
2859,13/12/2008,7,10,11,21,34,40
2857,6/12/2008,1,2,10,15,17,21
2855,29/11/2008,6,18,30,37,43,44
2853,22/11/2008,1,11,15,28,35,39
2851,15/11/2008,14,22,28,34,39,40
2849,8/11/2008,7,11,14,25,31,32
2847,1/11/2008,5,11,21,23,30,35
2845,25/10/2008,21,22,24,30,32,45
2843,18/10/2008,1,9,12,30,38,42
2841,11/10/2008,10,15,17,18,20,31
2839,4/10/2008,19,24,27,36,40,43
2837,27/09/2008,4,9,10,11,21,28
2835,20/09/2008,4,7,19,22,25,28
2833,13/09/2008,9,11,20,30,41,45
2831,6/09/2008,5,11,29,31,32,42
2829,30/08/2008,1,4,10,27,33,44
2827,23/08/2008,7,8,13,23,28,40
2825,16/08/2008,2,5,18,24,36,42
2823,9/08/2008,12,26,34,40,43,45
2821,2/08/2008,3,9,14,24,40,42
2819,26/07/2008,8,14,22,24,25,30
2817,19/07/2008,8,9,33,34,40,43
2815,12/07/2008,27,29,37,38,39,45
2813,5/07/2008,3,9,20,31,40,45
2811,28/06/2008,3,10,11,37,40,44
2809,21/06/2008,3,12,17,24,37,44
2807,14/06/2008,3,4,8,34,35,44
2805,7/06/2008,2,12,20,27,30,31
2803,31/05/2008,6,7,9,12,32,45
2801,24/05/2008,15,30,32,33,34,45
2799,17/05/2008,6,10,11,15,28,39
2797,10/05/2008,1,3,6,21,22,40
2795,3/05/2008,7,18,22,24,41,43
2793,26/04/2008,4,30,34,35,38,41
2791,19/04/2008,18,23,25,33,37,43
2789,12/04/2008,20,21,31,32,38,39
2787,5/04/2008,3,5,13,26,29,32
2785,29/03/2008,5,8,17,29,32,40
2783,22/03/2008,3,10,21,27,29,36
2781,15/03/2008,6,10,26,35,39,43
2779,8/03/2008,3,11,31,35,41,44
2777,1/03/2008,5,15,18,19,21,30
2775,23/02/2008,21,24,34,39,42,43
2773,16/02/2008,1,9,13,19,24,41
2771,9/02/2008,9,10,21,26,28,31
2769,2/02/2008,12,26,30,31,40,42
2767,26/01/2008,4,12,19,24,35,40
2765,19/01/2008,3,19,22,29,37,43
2763,12/01/2008,3,15,24,35,41,42
2761,5/01/2008,4,7,13,21,29,38
